Thuật Toán,Hàm Lượng Giá,Map,Seed,Kết Quả,Điểm Số,Thời Gian (giây)
MinimaxAgent,scoreEvaluationFunction,testClassic,24521425,Win,498,2.9284
MinimaxAgent,scoreEvaluationFunction,testClassic,24521426,Win,494,3.0205
MinimaxAgent,scoreEvaluationFunction,testClassic,24521427,Win,546,1.6285
MinimaxAgent,scoreEvaluationFunction,testClassic,24521428,Win,508,2.2142
MinimaxAgent,scoreEvaluationFunction,testClassic,24521429,Win,544,1.2346
MinimaxAgent,scoreEvaluationFunction,minimaxClassic,24521425,Lose,-495,0.2226
MinimaxAgent,scoreEvaluationFunction,minimaxClassic,24521426,Lose,-495,0.2981
MinimaxAgent,scoreEvaluationFunction,minimaxClassic,24521427,Lose,-495,0.2917
MinimaxAgent,scoreEvaluationFunction,minimaxClassic,24521428,Lose,-496,0.34
MinimaxAgent,scoreEvaluationFunction,minimaxClassic,24521429,Lose,-495,0.2762
MinimaxAgent,scoreEvaluationFunction,trappedClassic,24521425,Lose,-501,0.0983
MinimaxAgent,scoreEvaluationFunction,trappedClassic,24521426,Lose,-501,0.111
MinimaxAgent,scoreEvaluationFunction,trappedClassic,24521427,Lose,-501,0.1068
MinimaxAgent,scoreEvaluationFunction,trappedClassic,24521428,Lose,-501,0.1109
MinimaxAgent,scoreEvaluationFunction,trappedClassic,24521429,Lose,-501,0.0939
MinimaxAgent,scoreEvaluationFunction,smallClassic,24521425,Lose,-29,7.3631
MinimaxAgent,scoreEvaluationFunction,smallClassic,24521426,Lose,-414,64.5363
MinimaxAgent,scoreEvaluationFunction,smallClassic,24521427,Lose,-871,149.6669
MinimaxAgent,scoreEvaluationFunction,smallClassic,24521428,Lose,-136,59.0965
MinimaxAgent,scoreEvaluationFunction,smallClassic,24521429,Lose,-109,15.0954
MinimaxAgent,scoreEvaluationFunction,mediumClassic,24521425,Win,1630,48.7664
MinimaxAgent,scoreEvaluationFunction,mediumClassic,24521426,Lose,-53,174.3441
MinimaxAgent,scoreEvaluationFunction,mediumClassic,24521427,Lose,-39,123.8181
MinimaxAgent,scoreEvaluationFunction,mediumClassic,24521428,Lose,231,139.9401
MinimaxAgent,scoreEvaluationFunction,mediumClassic,24521429,Win,1408,113.5341
AlphaBetaAgent,scoreEvaluationFunction,testClassic,24521425,Win,498,1.6572
AlphaBetaAgent,scoreEvaluationFunction,testClassic,24521426,Win,494,1.7648
AlphaBetaAgent,scoreEvaluationFunction,testClassic,24521427,Win,546,0.8887
AlphaBetaAgent,scoreEvaluationFunction,testClassic,24521428,Win,508,1.5551
AlphaBetaAgent,scoreEvaluationFunction,testClassic,24521429,Win,544,0.7139
AlphaBetaAgent,scoreEvaluationFunction,minimaxClassic,24521425,Lose,-495,0.2036
AlphaBetaAgent,scoreEvaluationFunction,minimaxClassic,24521426,Lose,-495,0.2546
AlphaBetaAgent,scoreEvaluationFunction,minimaxClassic,24521427,Lose,-495,0.2358
AlphaBetaAgent,scoreEvaluationFunction,minimaxClassic,24521428,Lose,-496,0.2571
AlphaBetaAgent,scoreEvaluationFunction,minimaxClassic,24521429,Lose,-495,0.2304
AlphaBetaAgent,scoreEvaluationFunction,trappedClassic,24521425,Lose,-501,0.1001
AlphaBetaAgent,scoreEvaluationFunction,trappedClassic,24521426,Lose,-501,0.1474
AlphaBetaAgent,scoreEvaluationFunction,trappedClassic,24521427,Lose,-501,0.0969
AlphaBetaAgent,scoreEvaluationFunction,trappedClassic,24521428,Lose,-501,0.1273
AlphaBetaAgent,scoreEvaluationFunction,trappedClassic,24521429,Lose,-501,0.1194
AlphaBetaAgent,scoreEvaluationFunction,smallClassic,24521425,Lose,-29,2.7577
AlphaBetaAgent,scoreEvaluationFunction,smallClassic,24521426,Lose,-414,51.2003
AlphaBetaAgent,scoreEvaluationFunction,smallClassic,24521427,Lose,-871,132.5024
AlphaBetaAgent,scoreEvaluationFunction,smallClassic,24521428,Lose,-136,45.7868
AlphaBetaAgent,scoreEvaluationFunction,smallClassic,24521429,Lose,-109,5.4112
AlphaBetaAgent,scoreEvaluationFunction,mediumClassic,24521425,Win,1630,37.8739
AlphaBetaAgent,scoreEvaluationFunction,mediumClassic,24521426,Lose,-53,108.0132
AlphaBetaAgent,scoreEvaluationFunction,mediumClassic,24521427,Lose,-39,106.6416
AlphaBetaAgent,scoreEvaluationFunction,mediumClassic,24521428,Lose,231,112.0397
AlphaBetaAgent,scoreEvaluationFunction,mediumClassic,24521429,Win,1408,99.6071
ExpectimaxAgent,scoreEvaluationFunction,testClassic,24521425,Win,550,1.1486
ExpectimaxAgent,scoreEvaluationFunction,testClassic,24521426,Win,540,1.369
ExpectimaxAgent,scoreEvaluationFunction,testClassic,24521427,Win,546,1.6087
ExpectimaxAgent,scoreEvaluationFunction,testClassic,24521428,Win,508,2.2714
ExpectimaxAgent,scoreEvaluationFunction,testClassic,24521429,Win,548,1.3335
ExpectimaxAgent,scoreEvaluationFunction,minimaxClassic,24521425,Lose,-509,0.5303
ExpectimaxAgent,scoreEvaluationFunction,minimaxClassic,24521426,Win,511,0.358
ExpectimaxAgent,scoreEvaluationFunction,minimaxClassic,24521427,Lose,-495,0.3649
ExpectimaxAgent,scoreEvaluationFunction,minimaxClassic,24521428,Lose,-496,0.6432
ExpectimaxAgent,scoreEvaluationFunction,minimaxClassic,24521429,Lose,-495,0.3489
ExpectimaxAgent,scoreEvaluationFunction,trappedClassic,24521425,Win,532,0.1758
ExpectimaxAgent,scoreEvaluationFunction,trappedClassic,24521426,Lose,-502,0.1283
ExpectimaxAgent,scoreEvaluationFunction,trappedClassic,24521427,Lose,-502,0.141
ExpectimaxAgent,scoreEvaluationFunction,trappedClassic,24521428,Lose,-502,0.125
ExpectimaxAgent,scoreEvaluationFunction,trappedClassic,24521429,Lose,-502,0.1064
ExpectimaxAgent,scoreEvaluationFunction,smallClassic,24521425,Win,1152,39.2751
ExpectimaxAgent,scoreEvaluationFunction,smallClassic,24521426,Win,524,82.7858
ExpectimaxAgent,scoreEvaluationFunction,smallClassic,24521427,Lose,252,20.1837
ExpectimaxAgent,scoreEvaluationFunction,smallClassic,24521428,Lose,-138,59.0873
